ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(6.7825e+07)","Runtime Improvement""""(3.52359e+07)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
1,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.50,2.47,0.01,1.26,16,"    1,    1,    1","  128,    1,    1"
56,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.53,2.50,0.02,1.28,16,"    1,    1,    1","  128,    1,    1"
147,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.66,2.62,0.02,1.21,16,"    1,    1,    1","  128,    1,    1"
236,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.53,2.50,0.01,1.34,16,"    1,    1,    1","  128,    1,    1"
414,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.50,2.47,0.02,1.27,16,"    1,    1,    1","  128,    1,    1"
466,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.56,2.53,0.02,1.25,16,"    1,    1,    1","  128,    1,    1"
527,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.56,2.53,0.01,1.29,16,"    1,    1,    1","  128,    1,    1"
579,98.78,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.78,2.75,0.04,1.13,21,"    1,    1,    1","  128,    1,    1"
581,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",3.71,3.67,0.01,1.13,22,"    1,    1,    1","    1,    1,    1"
587,98.78,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.85,2.81,0.04,1.12,21,"    1,    1,    1","  128,    1,    1"
589,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",3.68,3.64,0.01,1.12,22,"    1,    1,    1","    1,    1,    1"
595,98.78,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.82,2.78,0.04,1.13,21,"    1,    1,    1","  128,    1,    1"
597,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",3.74,3.70,0.01,1.36,22,"    1,    1,    1","    1,    1,    1"
603,98.78,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.85,2.81,0.04,1.12,21,"    1,    1,    1","  128,    1,    1"
605,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",3.71,3.67,0.01,1.12,22,"    1,    1,    1","    1,    1,    1"
611,98.78,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.85,2.81,0.04,1.39,21,"    1,    1,    1","  128,    1,    1"
613,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",3.71,3.67,0.01,1.15,22,"    1,    1,    1","    1,    1,    1"
619,98.78,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.85,2.81,0.04,1.14,21,"    1,    1,    1","  128,    1,    1"
621,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",3.71,3.67,0.01,1.12,22,"    1,    1,    1","    1,    1,    1"
641,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.53,2.50,0.02,1.26,16,"    1,    1,    1","  128,    1,    1"
687,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.22,4.17,0.02,0.98,22,"    1,    1,    1","    1,    1,    1"
695,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.19,4.14,0.02,0.99,22,"    1,    1,    1","    1,    1,    1"
703,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.19,4.14,0.02,0.99,22,"    1,    1,    1","    1,    1,    1"
711,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.13,4.08,0.02,1.00,22,"    1,    1,    1","    1,    1,    1"
727,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.16,4.11,0.02,0.99,22,"    1,    1,    1","    1,    1,    1"
735,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.19,4.14,0.02,1.02,22,"    1,    1,    1","    1,    1,    1"
743,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.16,4.11,0.02,1.02,22,"    1,    1,    1","    1,    1,    1"
751,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.19,4.14,0.02,0.99,22,"    1,    1,    1","    1,    1,    1"
763,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.53,2.50,0.02,1.57,16,"    1,    1,    1","  128,    1,    1"
785,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.19,4.14,0.02,0.99,22,"    1,    1,    1","    1,    1,    1"
793,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.19,4.14,0.02,0.99,22,"    1,    1,    1","    1,    1,    1"
809,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.26,4.20,0.02,0.97,22,"    1,    1,    1","    1,    1,    1"
817,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.22,4.17,0.02,1.03,22,"    1,    1,    1","    1,    1,    1"
849,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.16,4.11,0.02,1.12,22,"    1,    1,    1","    1,    1,    1"
857,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.22,4.17,0.02,0.99,22,"    1,    1,    1","    1,    1,    1"
865,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.26,4.20,0.02,1.01,22,"    1,    1,    1","    1,    1,    1"
873,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.19,4.14,0.02,0.99,22,"    1,    1,    1","    1,    1,    1"
885,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.56,2.53,0.01,3.24,16,"    1,    1,    1","  128,    1,    1"
915,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.10,4.05,0.02,1.01,22,"    1,    1,    1","    1,    1,    1"
923,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.10,4.05,0.02,1.01,22,"    1,    1,    1","    1,    1,    1"
939,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.10,4.05,0.02,1.01,22,"    1,    1,    1","    1,    1,    1"
947,98.78,kernel_helper_stage_2,"void xmma__5x_cudnn::kernel_helper_stage_2..Params_pre_hopper>(T1, int..",4.13,4.08,0.02,1.01,22,"    1,    1,    1","    1,    1,    1"
991,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.53,2.50,0.01,1.24,16,"    1,    1,    1","  128,    1,    1"
1080,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.53,2.50,0.01,1.25,16,"    1,    1,    1","  128,    1,    1"
1168,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.53,2.50,0.01,1.24,16,"    1,    1,    1","  128,    1,    1"
1256,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.50,2.47,0.01,1.27,16,"    1,    1,    1","  128,    1,    1"
1257,98.78,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.53,2.50,0.01,1.31,16,"    1,    1,    1","  128,    1,    1"
325,97.56,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.62,2.56,0.02,1.52,16,"    2,    1,    1","  128,    1,    1"
470,97.56,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.59,2.53,0.02,1.41,16,"    2,    1,    1","  128,    1,    1"
685,97.56,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.98,2.90,0.07,1.09,21,"    2,    1,    1","  128,    1,    1"
693,97.56,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.01,2.93,0.07,1.08,21,"    2,    1,    1","  128,    1,    1"
701,97.56,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.07,3.00,0.07,1.07,21,"    2,    1,    1","  128,    1,    1"
709,97.56,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.98,2.90,0.07,3.28,21,"    2,    1,    1","  128,    1,    1"
725,97.56,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.04,2.97,0.07,1.08,21,"    2,    1,    1","  128,    1,    1"
733,97.56,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.01,2.93,0.07,1.13,21,"    2,    1,    1","  128,    1,    1"
741,97.56,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.01,2.93,0.07,1.08,21,"    2,    1,    1","  128,    1,    1"
749,97.56,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.98,2.90,0.07,1.10,21,"    2,    1,    1","  128,    1,    1"
783,96.34,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.01,2.90,0.12,1.11,21,"    3,    1,    1","  128,    1,    1"
791,96.34,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.94,2.84,0.12,3.35,21,"    3,    1,    1","  128,    1,    1"
807,96.34,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.01,2.90,0.12,1.11,21,"    3,    1,    1","  128,    1,    1"
815,96.34,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.98,2.87,0.12,1.11,21,"    3,    1,    1","  128,    1,    1"
847,96.34,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.04,2.93,0.12,3.28,21,"    3,    1,    1","  128,    1,    1"
855,96.34,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.01,2.90,0.12,1.11,21,"    3,    1,    1","  128,    1,    1"
863,96.34,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.94,2.84,0.12,1.13,21,"    3,    1,    1","  128,    1,    1"
871,96.34,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),2.94,2.84,0.12,1.13,21,"    3,    1,    1","  128,    1,    1"
913,92.68,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.01,2.79,0.23,1.22,21,"    6,    1,    1","  128,    1,    1"
921,92.68,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.04,2.82,0.23,1.17,21,"    6,    1,    1","  128,    1,    1"
937,92.68,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.01,2.79,0.23,1.18,21,"    6,    1,    1","  128,    1,    1"
945,92.68,kernel_helper_stage_0,void xmma__5x_cudnn::kernel_helper_stage_0..Params_pre_hopper>(T1),3.01,2.79,0.23,1.19,21,"    6,    1,    1","  128,    1,    1"
992,91.90,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.59,2.38,0.42,4.29,16,"   48,    1,    1","  128,    1,    1"
1081,91.86,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.66,2.44,0.16,2.30,16,"   18,    1,    1","  128,    1,    1"
1169,91.85,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.62,2.41,0.31,3.42,16,"   36,    1,    1","  128,    1,    1"
2,91.62,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,2.75,2.52,0.08,1.63,16,"    7,    1,    1","  128,    1,    1"
469,90.98,elementwise_kernel,..elementwise_kernel..gpu_kernel_impl_nocast..CUDAFunctor_add..TensorIteratorBase..,4.67,4.25,3.37,3.93,16,"   91,    1,    1","  128,    1,    1"
465,90.70,elementwise_kernel,..elementwise_kernel..gpu_kernel_impl_nocast..CUDAFunctor_add..TensorIteratorBase..,4.67,4.24,3.36,3.90,16,"   91,    1,    1","  128,    1,    1"
580,87.80,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.26,3.74,0.45,1.68,40,"   10,    1,    1","  256,    1,    1"
582,87.80,kernel_helper_stage_3,"void xmma__5x_cudnn::kernel_helper_stage_3..Params_pre_hopper>(T1, int..",4.90,4.30,0.56,1.23,27,"   10,    1,    1","  256,    1,    1"
588,87.80,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.70,4.13,0.45,1.53,40,"   10,    1,    1","  256,    1,    1"
590,87.80,kernel_helper_stage_3,"void xmma__5x_cudnn::kernel_helper_stage_3..Params_pre_hopper>(T1, int..",4.90,4.30,0.57,1.03,27,"   10,    1,    1","  256,    1,    1"
596,87.80,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.70,4.13,0.45,1.66,40,"   10,    1,    1","  256,    1,    1"
598,87.80,kernel_helper_stage_3,"void xmma__5x_cudnn::kernel_helper_stage_3..Params_pre_hopper>(T1, int..",4.93,4.33,0.56,1.02,27,"   10,    1,    1","  256,    1,    1"
604,87.80,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.29,3.77,0.45,1.69,40,"   10,    1,    1","  256,    1,    1"
606,87.80,kernel_helper_stage_3,"void xmma__5x_cudnn::kernel_helper_stage_3..Params_pre_hopper>(T1, int..",4.90,4.30,0.56,2.00,27,"   10,    1,    1","  256,    1,    1"
612,87.80,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.29,3.77,0.45,1.68,40,"   10,    1,    1","  256,    1,    1"
614,87.80,kernel_helper_stage_3,"void xmma__5x_cudnn::kernel_helper_stage_3..Params_pre_hopper>(T1, int..",4.90,4.30,0.56,1.08,27,"   10,    1,    1","  256,    1,    1"
620,87.80,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.29,3.77,0.45,2.72,40,"   10,    1,    1","  256,    1,    1"
622,87.80,kernel_helper_stage_3,"void xmma__5x_cudnn::kernel_helper_stage_3..Params_pre_hopper>(T1, int..",4.90,4.30,0.56,1.08,27,"   10,    1,    1","  256,    1,    1"
451,87.26,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage6_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage6_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,14.56,12.71,5.91,12.74,122,"    2,    6,    2","  128,    1,    1"
57,87.01,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,3.07,2.67,1.15,10.55,16,"  144,    1,    1","  128,    1,    1"
454,86.75,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage6_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage6_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,14.53,12.60,5.97,13.25,122,"    2,    6,    2","  128,    1,    1"
397,86.02,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,221.47,190.51,13.98,11.73,240,"    8,    3,    1","  128,    1,    1"
393,86.00,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,220.99,190.04,14.00,11.65,240,"    8,    3,    1","  128,    1,    1"
385,85.88,Kernel,..cutlass_tensorop_f16_s16816fprop_optimized_f16_128x128_32x4_nhwc_align8..,219.23,188.27,14.12,11.23,238,"   12,    2,    1","  128,    1,    1"
389,85.87,Kernel,..cutlass_tensorop_f16_s16816fprop_optimized_f16_128x128_32x4_nhwc_align8..,219.10,188.15,14.13,11.50,238,"   12,    2,    1","  128,    1,    1"
433,85.37,Kernel,..cutlass_tensorop_f16_s16816fprop_optimized_f16_64x64_64x5_nhwc_align8..,17.02,14.53,5.06,9.51,118,"   12,    1,    1","  128,    1,    1"
436,85.37,Kernel,..cutlass_tensorop_f16_s16816fprop_optimized_f16_64x64_64x5_nhwc_align8..,17.09,14.59,5.06,9.46,118,"   12,    1,    1","  128,    1,    1"
439,85.37,sm86_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage3_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage3_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,18.18,15.52,4.73,10.01,128,"    2,    6,    1","  128,    1,    1"
442,85.37,sm86_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage3_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm86_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage3_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,18.24,15.57,4.74,8.96,128,"    2,    6,    1","  128,    1,    1"
459,85.37,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,20.54,17.54,4.22,9.68,118,"    4,    3,    1","  128,    1,    1"
462,85.37,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,20.48,17.48,4.20,9.70,118,"    4,    3,    1","  128,    1,    1"
615,85.35,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_strided_execute_kernel__5x_cudnn,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_strided_execute_kernel__5x_cudnn,211.62,180.61,14.65,12.53,255,"    4,   12,    1","  128,    1,    1"
623,85.34,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_strided_execute_kernel__5x_cudnn,sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_strided_execute_kernel__5x_cudnn,211.30,180.33,14.66,12.41,255,"    4,   12,    1","  128,    1,    1"
523,85.31,softmax_warp_forward,"..unnamed>::softmax_warp_forward<c10::Half, float..T2 *, const..int..bool..",4.86,4.15,9.21,10.33,40,"   91,    1,    1","   32,    4,    1"
702,85.30,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.10,3.49,0.90,1.87,40,"   17,    1,    1","  256,    1,    1"
734,85.25,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.10,3.49,0.89,1.87,40,"   17,    1,    1","  256,    1,    1"
784,85.11,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.10,3.49,1.03,2.06,40,"   17,    1,    1","  256,    1,    1"
710,85.09,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.06,3.46,0.91,1.90,40,"   17,    1,    1","  256,    1,    1"
808,85.05,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.13,3.51,1.01,2.74,40,"   17,    1,    1","  256,    1,    1"
726,85.03,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4,3.40,0.88,3.55,40,"   17,    1,    1","  256,    1,    1"
694,84.91,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.03,3.42,0.90,1.90,40,"   17,    1,    1","  256,    1,    1"
792,84.79,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.13,3.50,1.02,1.98,40,"   17,    1,    1","  256,    1,    1"
686,84.77,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.06,3.45,0.90,2.88,40,"   17,    1,    1","  256,    1,    1"
946,84.70,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.54,3.85,1.08,2.06,40,"   17,    1,    1","  256,    1,    1"
567,84.69,Kernel,..cutlass_tensorop_f16_s16816dgrad_optimized_f16_128x128_32x5_nhwc_align8..,202.21,171.24,15.31,11.47,255,"   12,    4,    1","  128,    1,    1"
856,84.68,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.13,3.50,1.02,1.98,40,"   17,    1,    1","  256,    1,    1"
563,84.68,Kernel,..cutlass_tensorop_f16_s16816dgrad_optimized_f16_128x128_32x5_nhwc_align8..,202.40,171.39,15.32,10.44,255,"   12,    4,    1","  128,    1,    1"
864,84.64,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.06,3.44,1.03,2.05,40,"   17,    1,    1","  256,    1,    1"
872,84.59,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.06,3.44,1.03,2.02,40,"   17,    1,    1","  256,    1,    1"
750,84.56,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.03,3.41,0.90,1.90,40,"   17,    1,    1","  256,    1,    1"
1231,84.52,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,3.62,3.06,5.83,4.48,38,"    1,    1,   64","  256,    1,    1"
571,84.44,Kernel,..cutlass_tensorop_f16_s16816dgrad_optimized_f16_64x256_32x4_nhwc_align8..,199.94,168.83,15.50,15.56,254,"   24,    2,    1","  128,    1,    1"
922,84.44,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.58,3.86,1.07,2.05,40,"   17,    1,    1","  256,    1,    1"
575,84.41,Kernel,..cutlass_tensorop_f16_s16816dgrad_optimized_f16_64x256_32x4_nhwc_align8..,199.55,168.43,15.51,15.59,254,"   24,    2,    1","  128,    1,    1"
742,84.40,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.10,3.46,0.91,2.00,40,"   17,    1,    1","  256,    1,    1"
452,84.39,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,3.26,2.75,3.74,6.77,40,"   12,    4,    1","  256,    1,    1"
816,84.34,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.10,3.45,1.02,2.01,40,"   17,    1,    1","  256,    1,    1"
914,84.34,kernel_helper_stage_1,void xmma__5x_cudnn::kernel_helper_stage_1..Params_pre_hopper>(T1),4.58,3.86,1.05,2.13,40,"   17,    1,    1","  256,    1,    1"
1073,84.27,nchwToFoldedNhwcKernel,..nchwToFoldedNhwcKernel<__half..float..const..T3..cudnn::reduced_divisor..,4.03,3.40,6.78,3.53,38,"    1,    1,   64","   32,    8,    1"
