ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(6.7825e+07)","Runtime Improvement""""(3.52359e+07)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
781,19.98,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.69,1.34,38.74,37.90,38,"    1,    4,  256","  256,    1,    1"
51,19.97,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,28.90,5.77,47.42,84.14,40," 2750,    2,    1","  256,    1,    1"
31,19.95,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,28.96,5.78,51.97,83.91,40," 2750,    2,    1","  256,    1,    1"
47,19.93,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,29.12,5.80,50.69,83.49,40," 2750,    2,    1","  256,    1,    1"
970,19.93,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,28.29,5.64,51.75,83.54,40," 2750,    2,    1","  256,    1,    1"
58,19.92,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,31.68,6.31,45.68,80.08,38," 2750,    2,    1","  256,    1,    1"
1300,19.91,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,113.66,22.63,47.53,85.19,38,"10988,    2,    1","  256,    1,    1"
1270,19.89,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,114.82,22.84,47.57,84.34,38,"10988,    2,    1","  256,    1,    1"
974,19.87,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,28.64,5.69,52.29,82.56,40," 2750,    2,    1","  256,    1,    1"
950,19.86,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,28.96,5.75,51.40,83.92,40," 2750,    2,    1","  256,    1,    1"
128,19.84,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,31.65,6.28,45.36,80.16,38," 2750,    2,    1","  256,    1,    1"
74,19.83,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,31.65,6.28,45.88,80.17,38," 2750,    2,    1","  256,    1,    1"
